,productId,productName,priceSale,priceOriginal,imageLink,productLink,company,gender
10,878893,Laura Ashley Copper Bel Çantası,80.99 TL,269.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002456641_221_01.jpg,https://www.boyner.com.tr/laura-ashley-bel-cantasi-878893-1005,BOYNER,KadÄ±n
11,975548,Calvin Klein Omuz Çantası,389.00 TL,414.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639310_100_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975548-1005,BOYNER,KadÄ±n
12,939601,Forever Cultivate Sırt Çantası,160.93 TL,244.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002571419_411_02.jpg,https://www.boyner.com.tr/forever-cultivate-sirt-cantasi-939601-1005,BOYNER,KadÄ±n
13,925204,Calvin Klein Siyah Omuz Çantası,223.30 TL,339.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002562170_001_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-925204-1005,BOYNER,KadÄ±n
14,879858,Laura Ashley Copper El Çantası,97.49 TL,324.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002456642_221_01.jpg,https://www.boyner.com.tr/laura-ashley-el-cantasi-879858-1005,BOYNER,KadÄ±n
15,975567,Calvin Klein Omuz Çantası,389.00 TL,414.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639340_602_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975567-1005,BOYNER,KadÄ±n
16,975523,Calvin Klein Cüzdan,359.00 TL,379.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639278_600_01.jpg,https://www.boyner.com.tr/calvin-klein-cuzdan-975523-1005,BOYNER,KadÄ±n
17,907863,Forever Cultivate El Çantası,90.96 TL,194.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002464347_001_01.jpg,https://www.boyner.com.tr/forever-cultivate-el-cantasi-907863-1005,BOYNER,KadÄ±n
18,879225,Laura Ashley Claret Red El Çantası,97.49 TL,324.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002456616_602_01.jpg,https://www.boyner.com.tr/laura-ashley-el-cantasi-879225-1005,BOYNER,KadÄ±n
19,93923,Pierre Cardin Laptop Çantası,369.00 TL,459.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5000068019_200_01.jpg,https://www.boyner.com.tr/pierre-cardin-laptop-cantasi-93923-1005,BOYNER,KadÄ±n
20,975812,Fabrika Vizon Sırt Çantası,499.95 TL,529.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002591130_254_01.jpg,https://www.boyner.com.tr/fabrika-sirt-cantasi-975812-1005,BOYNER,KadÄ±n
21,975587,Tommy Hilfiger Modern Cc Slim Laptop Çantası,"1,039.00 TL","1,104.95 TL",https://statics.boyner.com.tr/mnresize/325/451/productimages/5002643341_001_01.jpg,https://www.boyner.com.tr/tommy-hilfiger-laptop-cantasi-975587-1005,BOYNER,KadÄ±n
22,975572,Calvin Klein Hobo Çanta,579.00 TL,614.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639354_001_01.jpg,https://www.boyner.com.tr/calvin-klein-hobo-canta-975572-1005,BOYNER,KadÄ±n
23,975557,Calvin Klein El Çantası,"1,039.00 TL","1,109.95 TL",https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639322_211_01.jpg,https://www.boyner.com.tr/calvin-klein-el-cantasi-975557-1005,BOYNER,KadÄ±n
24,975542,Calvin Klein Bel Çantası,449.00 TL,479.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639300_001_01.jpg,https://www.boyner.com.tr/calvin-klein-bel-cantasi-975542-1005,BOYNER,KadÄ±n
25,975511,Calvin Klein Omuz Çantası,519.00 TL,554.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639248_600_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975511-1005,BOYNER,KadÄ±n
26,975437,Tommy Hilfiger El Çantası,909.00 TL,964.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002638782_001_01.jpg,https://www.boyner.com.tr/tommy-hilfiger-el-cantasi-975437-1005,BOYNER,KadÄ±n
27,975434,Tommy Hilfiger Sırt Çantası,649.00 TL,689.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002638773_411_01.jpg,https://www.boyner.com.tr/tommy-hilfiger-sirt-cantasi-975434-1005,BOYNER,KadÄ±n
28,970567,Love Moschino   Omuz Çantası,909.96 TL,"1,389.95 TL",https://statics.boyner.com.tr/mnresize/325/451/productimages/5002617934_020_01.jpg,https://www.boyner.com.tr/love-moschino-omuz-cantasi-970567-1005,BOYNER,KadÄ±n
29,967463,U.S. Polo Assn. Kahverengi Sırt Çantası,258.99 TL,394.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002618360_200_01.jpg,https://www.boyner.com.tr/u.s.-polo-assn.-sirt-cantasi-967463-1005,BOYNER,KadÄ±n
30,967461,U.S. Polo Assn. Kahve - Bej Omuz Çantası,314.99 TL,479.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002618323_900_01.jpg,https://www.boyner.com.tr/u.s.-polo-assn.-omuz-cantasi-967461-1005,BOYNER,KadÄ±n
31,967331,David Jones Siyah Sırt Çantası,359.90 TL,389.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002611371_001_01.jpg,https://www.boyner.com.tr/david-jones-sirt-cantasi-967331-1005,BOYNER,KadÄ±n
32,967328,David Jones Siyah Omuz Çantası,419.90 TL,454.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002611349_001_01.jpg,https://www.boyner.com.tr/david-jones-omuz-cantasi-967328-1005,BOYNER,KadÄ±n
